Symbol,CompanyID
VAKRANGEE,3592
RADHIKAJWE,1273512
DECCANCE,778
PDMJEPAPER,1273295
ADSL,137
TAC,1284732
KROSS,1284971
RKSWAMY,1284701
OSWALGREEN,2370
YUKEN,3786
GALAPREC,1284954
CEWATER,1285203
DENTALKART,1284367
LGHL,1274746
KOKUYOCMLN,1812
KELLTONTEC,3701
CREATIVE,1274053
SAURASHCEM,2911
LIKHITHA,1274798
ROHLTD,2788
PASHUPATI,1274132
CELLECOR,1284489
HERANBA,1274836
CENTRUM,607
JITFINFRA,1273645
STEELXIND,3194
WEALTH,1273302
SUYOG,694435
KSOLVES,1274762
TECHLABS,1284612
EIMCOELECO,892
TVTODAY,3499
VINYAS,1284518
RISHABH,1284471
HEXATRADEX,1310
CONTROLPR,706
SILVERTUC,1274204
PPL,1274670
MAXIND,1274778
XCHANGING,572
PARSVNATH,2427
MUKKA,1284695
SOLEX,1274264
KOPRAN,1816
VILAS,1284790
GARUDA,1285112
GICHSGFIN,1130
MAGADSUGAR,1274106
ANDHRSUGAR,188
NITCO,2278
COOLCAPS,1275182
PENINLAND,2449
KABRAEXTRU,1679
GGBL,1284841
BIGBLOC,1273472
SAHASRA,1285010
VALIANTORG,1273533
SWELECTES,2309
NCLIND,2222
KOTHARIPET,1820
ARROWGREEN,250
MAMATA,1285198
MANALIPETC,1988
ZEEMEDIA,3790
INDOAMIN,1454
INDORAMA,1462
ZUARI,249383
DISHTV,835
TNPL,3349
SATINDLTD,2906
AVTNPL,346
BESTAGRO,1273249
AFSL,1275375
SRHHYPOLTD,3158
KUANTUM,1843
ACLGATI,1105
